,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q12,Q13,Q14,Q15,Q18,Q19,Latitude,Longitude
36,18,1,4,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,5,1,-4.09021965,34.73737265
37,19,1,2,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,-1,4,4,-10.5117961,38.99460256
38,31,2,1,3,5,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-5.03547203,36.23767486
39,30,1,1,2,5,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,4,5,5,-2.40257714,32.32959157
40,17,2,1,3,5,2,2,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,-1,3,3,-3.8083337999999998,32.2274935
41,30,2,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-8.53949832,32.94378634
42,37,2,1,6,5,2,1,0,1,0,1,0,0,0,0,0,0,0,1,4,1,3,1,1,-4.8332572,34.76190104
43,38,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-5.71743656,38.23601851
44,35,1,4,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-8.60398999,39.26018757
45,20,2,2,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.54540703,32.95831634
46,29,2,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-3.87132116,35.65140707
47,35,1,1,3,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,2,2,-1,1,2,-8.56409232,35.33905815
48,46,2,2,3,1,2,1,0,1,0,1,0,0,0,0,1,0,0,1,3,1,3,1,4,-4.22585093,34.61299078
49,25,1,1,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,2,1,4,-8.95365989,32.56461543
50,31,2,1,1,2,2,2,0,1,0,0,0,1,0,0,0,0,0,2,-1,2,-1,4,4,-3.99684717,33.37908427
51,21,2,1,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.61146616,32.07196443
52,39,2,1,3,5,2,2,0,1,0,1,0,0,0,0,1,0,0,2,-1,2,-1,1,4,-8.97814972,36.76014005
53,23,1,1,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,6,2,-1,1,4,-2.34096694,32.29512438
54,21,1,4,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,1,6,1,2,-3.4327519,31.51375467
55,25,1,1,3,1,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-8.12810763,30.96696583
56,72,1,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-6.2650312,36.86940735
57,65,2,2,1,1,2,1,0,1,0,0,0,0,0,1,1,0,0,2,-1,1,5,4,4,-10.48861938,39.02782579
58,54,2,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-4.02596301,34.50822471
59,32,1,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,1,1,1,4,-8.57148856,33.44991499
60,24,1,4,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,1,4,-2.50670896,32.0118141
61,24,2,4,7,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,5,1,1,-3.3636809999999997,36.72002605
62,34,1,1,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-6.96839746,39.08681603
63,46,2,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-6.37275189,38.35172048
64,31,2,1,1,3,2,2,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,4,4,-3.25233472,30.9082292
65,26,1,4,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,1,4,-10.66296868,35.65686511
66,45,2,1,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.8528492,32.88685392
67,31,1,1,6,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,-1,2,-1,1,5,-10.46735817,36.13244508
68,23,1,4,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,1,5,2,2,-6.87575725,39.2326073
69,31,2,1,3,4,2,1,0,0,0,0,0,0,0,0,1,0,0,2,-1,1,2,1,4,-6.88329466,39.25354774
70,38,2,1,1,5,2,2,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,4,4,-3.821738,33.30840363
71,45,1,1,6,1,2,1,1,1,0,1,0,0,0,0,0,0,0,2,-1,1,2,1,1,-11.263398,34.79128086
72,27,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-7.85425891,31.175777500000002
73,32,2,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,3,1,3,-4.26860253,38.05357002
74,25,1,1,6,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,3,1,1,-11.40079283,36.42848862
75,26,1,2,7,5,1,1,0,0,1,1,0,0,0,0,0,0,0,2,-1,1,3,1,1,-6.14814684,39.2228004
76,30,1,4,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-8.79798017,34.99025617
77,18,1,4,1,3,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-6.29072293,35.88227777
78,28,1,2,3,4,2,1,0,1,0,1,0,0,0,0,0,0,0,1,6,2,-1,1,4,-4.57358799,33.03776076
79,35,2,1,5,1,2,2,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,1,5,-5.24594851,39.78153458
80,50,2,1,3,3,1,2,0,1,0,0,0,0,0,0,1,0,0,1,3,2,-1,1,1,-3.20246304,37.20556708
81,30,2,2,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,5,1,4,-10.75077606,38.53076548
82,48,1,1,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-6.57002874,35.51702142
83,23,2,1,3,4,1,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-6.9315708,39.2627114
84,27,2,1,2,3,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-5.95904711,36.69328201
85,33,2,1,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-10.91989576,39.38172881
86,33,1,4,2,5,2,1,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,-1,1,4,-1.94038467,32.85856349
87,57,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,4,-9.33031317,33.71555106
88,42,1,1,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-3.35037913,37.30188854
89,30,1,1,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,4,1,1,-3.36559136,33.53726776
90,30,1,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-9.23731241,34.89157655
91,29,2,1,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-9.49385658,34.65333495
92,25,2,4,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1,2,1,1,-10.67473747,35.64183403
93,48,1,4,3,5,2,1,0,0,0,1,0,0,0,0,1,0,0,2,-1,2,-1,1,2,-9.93089752,39.72115387
94,29,2,2,3,5,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-3.90304871,35.81426291
95,44,2,2,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,3,-6.83370162,39.24087062
96,40,1,1,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-3.62754058,33.40638784
97,21,2,1,3,4,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,5,5,-2.04015789,33.83592211
98,47,1,1,2,1,2,2,0,1,0,0,0,0,0,1,0,0,0,1,6,1,6,4,4,-2.74515319,31.88753692
99,39,1,2,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,3,1,2,-3.67416708,33.4410097
100,51,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,-1,1,1,-7.75707127,35.48008133
101,26,2,3,3,4,2,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,2,1,1,-7.2557727,31.39929365
102,21,2,1,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,1,3,2,-1,1,3,-6.17026527,39.22253025
103,48,1,1,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2,-1,1,1,-10.51940931,38.67832566
104,29,2,1,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-8.46032763,32.15847508
105,69,1,1,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,3,2,4,-7.68149797,36.03874388
106,58,2,2,3,5,2,2,0,1,1,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.7743338,32.70359252
107,36,2,2,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,-1,1,4,-1.49823944,33.80838533
108,19,1,4,3,5,2,1,0,0,0,1,0,0,0,0,0,0,0,1,5,2,-1,1,4,-4.79615125,38.29238409
109,51,2,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,5,2,-1,4,4,-2.4168124,32.93534714
110,65,1,1,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,3,1,4,-7.28900961,38.99792171
111,53,2,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,5,4,4,-11.04289071,37.43360887
112,52,2,3,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-9.2401144,33.3392101
113,60,2,3,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-4.64239636,38.32172276
114,34,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-8.29548706,31.52009092
115,50,2,3,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,1,4,-6.88544157,39.15487472
116,20,2,4,6,3,2,2,0,1,0,0,0,0,0,0,1,0,0,2,-1,1,4,1,1,-8.58424757,35.20765615
117,79,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.03701413,33.02725406
118,19,1,4,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-3.54557136,36.98624673
119,17,1,4,5,3,2,2,0,0,0,0,0,0,0,0,0,1,0,2,-1,1,5,1,1,-10.28169602,40.19747509
120,48,2,1,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-9.33519347,34.76612567
121,30,2,2,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-11.10779697,39.32546201
122,33,1,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-9.2956571,32.75979208
123,30,2,2,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,2,-1,1,4,-6.8190738,39.23891902
124,17,2,4,5,5,2,2,0,0,0,0,0,0,0,0,0,1,0,1,3,2,-1,1,4,-8.61632576,39.26433887
125,22,1,4,5,3,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-3.14734128,32.36980862
126,20,1,4,6,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,3,1,1,-3.34885542,35.78177151
127,57,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-5.60573615,36.56213198
128,30,2,1,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-1.87536698,33.70180501
129,21,2,1,5,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,1,1,-6.22058606,39.23271071
130,36,1,1,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,-1,1,4,-4.6137182999999995,34.94999894
131,30,2,1,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,1,2,1,4,-2.84404439,33.08184245
132,74,2,3,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,4,4,-7.78092072,35.69345854
133,70,1,3,2,5,2,2,0,0,0,1,0,0,0,0,1,0,0,2,-1,2,-1,5,4,-3.28253814,32.87852015
134,21,2,1,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,6,1,4,-10.77977942,39.54916804
135,50,2,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,5,4,4,-8.84422538,34.82567814
136,42,2,1,1,3,2,2,0,1,0,0,0,0,0,0,1,0,0,2,-1,2,-1,4,4,-7.11044993,31.167248100000002
137,51,1,1,5,1,2,1,0,1,1,0,1,0,0,0,0,0,0,2,-1,1,4,1,1,-10.66317936,38.75113804
138,25,1,1,6,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,-1,1,1,-8.63565828,31.429779600000003
139,66,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,4,4,4,-10.85329033,39.27796148
140,32,1,1,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-4.76098716,34.58148382
141,43,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,3,1,3,1,1,-6.907858999999999,39.16891368
142,42,2,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,3,1,4,-9.01023669,33.00566594
143,25,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-1.9593884,35.3481662
144,22,1,4,7,5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,4,1,1,-8.905957800000001,33.46199561
145,30,1,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,5,2,-1,1,4,-10.62934442,35.70397749
146,21,2,1,2,3,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-5.24108321,32.3378338
147,44,2,1,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,1,1,-3.35808547,36.68217033
148,32,2,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-9.40559508,39.59767219
149,45,2,3,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,2,-1,1,2,4,4,-6.12111736,38.40738057
150,43,1,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,4,2,-1,1,4,-6.85707122,39.281856
151,27,2,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-3.42071962,30.74115794
152,21,1,4,6,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,-6.79824409,39.24889276
153,34,1,1,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,1,5,2,-1,2,2,-10.66145048,35.6571607
154,71,2,1,3,5,2,1,0,0,0,0,0,0,1,0,0,0,0,2,-1,1,4,1,5,-6.16361129,39.19200013
155,53,2,1,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,4,1,1,-7.75096627,35.86473801
156,41,2,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-10.78434469,38.62104282
157,18,2,4,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,-1,1,1,-5.61821773,32.74653101
158,30,2,2,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-8.84722257,34.82323638
159,43,1,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,2,1,1,-6.15377987,35.73856115
160,18,2,4,6,5,2,1,0,0,0,0,0,0,0,0,1,0,0,2,-1,1,3,1,1,-4.21586683,35.73768191
161,27,1,1,6,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,2,-1,1,1,-8.69595658,34.37510245
162,42,1,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,6,2,-1,1,5,-8.77739677,33.64056205
163,28,2,1,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-7.25199364,31.3957734
164,23,1,4,6,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,-1,1,1,-2.59702558,32.91295724
165,36,1,1,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,2,1,4,-1.30202403,33.94418538
166,26,1,4,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,6,1,1,-6.89787669,39.2830428
167,40,2,2,1,4,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-4.77570805,33.23885743
168,16,2,4,3,3,2,2,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,-1,1,1,-9.29416408,32.76011677
169,44,2,1,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-10.5510232,39.79038202
170,49,2,1,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1,4,1,4,-4.36296249,35.07469497
171,21,2,1,2,3,1,2,0,1,0,0,0,0,0,0,1,0,0,1,6,1,3,4,4,-8.80259681,34.22394153
172,26,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-9.46324568,33.95387329
173,40,1,2,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-10.84909193,39.69424186
174,23,2,1,3,5,2,2,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,-1,1,4,-8.86080931,34.00851804
175,45,1,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,-1,1,3,1,1,-7.93436739,35.627881099999996
176,17,1,4,2,5,2,1,0,0,0,0,0,0,0,0,0,1,0,2,-1,1,2,1,4,-6.15644492,39.21356562
177,35,2,1,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,1,5,2,-1,1,4,-1.49754357,33.81603689
178,47,2,1,3,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,5,1,3,2,4,-2.41581483,32.93551543
179,47,2,2,3,1,2,1,0,0,1,1,0,0,0,0,1,0,0,2,-1,2,-1,1,4,-10.34493185,40.24871853
180,22,2,4,3,5,2,1,1,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-6.84497565,39.27956453
181,56,1,1,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,1,4,-4.26984915,38.05020494
182,20,2,4,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,-1,1,2,1,1,-6.19109467,31.22189671
183,30,1,1,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-1.56820611,30.88957993
184,30,2,1,1,5,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-3.25324702,34.21561015
185,82,1,1,1,3,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-9.95411008,39.32896618
186,50,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-5.05285781,33.49013642
187,45,1,1,1,5,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-2.40197557,32.33061363
188,34,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-10.44232974,36.05889648
189,39,1,1,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,1,1,-2.53515039,32.96039055
190,30,2,1,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-4.06512087,35.287878000000006
191,26,2,1,5,1,2,2,0,0,0,0,0,0,0,0,0,1,0,2,-1,2,-1,5,4,-2.75271505,31.88174461
192,24,1,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6,2,-1,1,1,-10.82883369,34.88715401
193,45,2,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,2,4,-2.77698039,32.70353693
194,19,1,4,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-3.87124918,35.65140866
195,21,2,1,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-5.86747215,35.07340002
196,47,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-4.87336232,38.45562212
197,28,1,1,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,1,-6.18496445,39.20751854
198,25,1,1,3,5,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,6,1,4,-6.79394649,39.25060514
199,64,2,3,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-3.28725739,37.37457776
200,57,1,1,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,5,1,4,-9.33152241,33.33314555
201,48,2,1,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-3.35345953,37.56766843
202,66,1,1,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,4,2,-1,1,1,-5.01134334,32.80219587
203,23,1,4,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.06047855,35.47690956
204,55,1,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,5,-3.54591074,36.98623599
205,47,1,1,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,6,1,4,-8.07454891,31.93359156
206,25,2,1,1,2,2,2,0,0,0,1,0,0,0,0,1,0,0,2,-1,2,-1,4,4,-5.86640949,35.13522844
207,22,1,4,6,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,4,2,-1,1,1,-2.76908119,32.69199577
208,37,1,4,2,5,2,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-6.74329579,32.48178859
209,42,2,1,1,1,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,6,4,4,-8.59099637,35.1509784
210,50,2,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,-1,2,-1,1,4,-4.45559913,33.95443295
211,43,2,1,7,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,-1,1,1,-8.90599987,33.45582863
212,45,2,1,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-4.60328192,34.65739762
